Movimento Democrático Brasileiro,15,MDB
Partido dos Trabalhadores,13,PT
Partido da Social Democracia Brasileira,45,PSDB
Progressistas,11,PP
Partido Democrático Trabalhista,12,PDT
Democratas,25,DEM
Partido Social Liberal,17,PSL 
Partido Trabalhista Brasileiro,14,PTB
Partido Liberal,22,PL
Partido Socialista Brasileiro,40,PSB
Republicanos,10,REPU
Cidadania,23,PPS
Partido Social Cristão,20,PSC
Podemos,19,PODE
Partido Comunista do Brasil,65,PCdoB
Partido Social Democrático,55,PSD
Partido Verde,43,PV
Patriota,51,PATRI
Solidariedade,77,SOLI
Partido Socialismo e Liberdade,50,PSOL
Avante,70,AVAN
Partido da Mobilização Nacional,33,PMN
Agir,36,AGIR
Democracia Cristã,27,DC
Partido Renovador Trabalhista Brasileiro,28,PRTB
Partido Republicano da Ordem Social,90,PROS
Partido da Mulher Brasileira,35,PMB
Rede Sustentabilidade,18,REDE
Partido Novo,30,NOVO
Partido Socialista dos Trabalhadores Unificado,16,PSTU
Partido Comunista Brasileiro,21,PCB
Partido da Causa Operária,29,PCO
Unidade Popular,80,UP
Partido Pátria Livre,54,PPL
